feature,importance,source
NUM_UNIQUE_OPERANDS,1.727462704098303,linear_coefficients
NUM_OPERATORS,1.1439506189079944,linear_coefficients
MAINTENANCE_SEVERITY,1.0693886736121956,linear_coefficients
DECISION_COUNT,0.9221900436715698,linear_coefficients
NUMBER_OF_LINES,0.9077340058985498,linear_coefficients
HALSTEAD_ERROR_EST,0.8735278058748849,linear_coefficients
NORMALIZED_CYLOMATIC_COMPLEXITY,0.8578376461209983,linear_coefficients
MULTIPLE_CONDITION_COUNT,0.7142927103229373,linear_coefficients
HALSTEAD_LENGTH,0.6387729305144321,linear_coefficients
HALSTEAD_VOLUME,0.6081383985849426,linear_coefficients
CYCLOMATIC_COMPLEXITY,0.49404785010087127,linear_coefficients
LOC_BLANK,0.390976479748314,linear_coefficients
HALSTEAD_CONTENT,0.3823883414643353,linear_coefficients
CYCLOMATIC_DENSITY,0.3530481819255837,linear_coefficients
ESSENTIAL_DENSITY,0.35191874490838315,linear_coefficients
CONDITION_COUNT,0.329927981946755,linear_coefficients
NUM_UNIQUE_OPERATORS,0.3160234108546907,linear_coefficients
ESSENTIAL_COMPLEXITY,0.3028471909367992,linear_coefficients
MODIFIED_CONDITION_COUNT,0.2623340797780531,linear_coefficients
DESIGN_DENSITY,0.2555699771777587,linear_coefficients
PERCENT_COMMENTS,0.20738147721237027,linear_coefficients
HALSTEAD_LEVEL,0.1459821811038317,linear_coefficients
LOC_COMMENTS,0.1335295734646091,linear_coefficients
BRANCH_COUNT,0.12837167573615677,linear_coefficients
DESIGN_COMPLEXITY,0.10965232812705415,linear_coefficients
NODE_COUNT,0.10419342740657815,linear_coefficients
HALSTEAD_DIFFICULTY,0.06391004189996197,linear_coefficients
EDGE_COUNT,0.059501839224249044,linear_coefficients
LOC_EXECUTABLE,0.0585179216954954,linear_coefficients
DECISION_DENSITY,0.05813657746572373,linear_coefficients
HALSTEAD_PROG_TIME,0.030245085536638943,linear_coefficients
HALSTEAD_EFFORT,0.030144487885896628,linear_coefficients
NUM_OPERANDS,0.030063632316633417,linear_coefficients
CALL_PAIRS,0.02939570680241329,linear_coefficients
PARAMETER_COUNT,0.022723975695964006,linear_coefficients
LOC_CODE_AND_COMMENT,0.01261007411331568,linear_coefficients
LOC_TOTAL,0.00875210191152568,linear_coefficients
