dataset,model,repeat,fold,true_clean_pred_clean,true_clean_pred_defect,true_defect_pred_clean,true_defect_pred_defect,plot
ar3,Logistic Regression,2,5,11,0,1,0,public_dataset_output/results/confusion_matrices/ar3/logistic_regression/repeat_02_fold_05.png
ar4,Random Forest,1,1,18,0,3,1,public_dataset_output/results/confusion_matrices/ar4/random_forest/repeat_01_fold_01.png
ar4,Random Forest,1,2,17,1,3,1,public_dataset_output/results/confusion_matrices/ar4/random_forest/repeat_01_fold_02.png
ar4,Random Forest,1,3,17,0,2,2,public_dataset_output/results/confusion_matrices/ar4/random_forest/repeat_01_fold_03.png
ar4,Random Forest,1,4,15,2,2,2,public_dataset_output/results/confusion_matrices/ar4/random_forest/repeat_01_fold_04.png
ar4,Random Forest,1,5,17,0,2,2,public_dataset_output/results/confusion_matrices/ar4/random_forest/repeat_01_fold_05.png
ar4,Random Forest,2,1,17,1,2,2,public_dataset_output/results/confusion_matrices/ar4/random_forest/repeat_02_fold_01.png
ar4,Random Forest,2,2,17,1,3,1,public_dataset_output/results/confusion_matrices/ar4/random_forest/repeat_02_fold_02.png
ar4,Random Forest,2,3,17,0,3,1,public_dataset_output/results/confusion_matrices/ar4/random_forest/repeat_02_fold_03.png
ar4,Random Forest,2,4,17,0,1,3,public_dataset_output/results/confusion_matrices/ar4/random_forest/repeat_02_fold_04.png
ar4,Random Forest,2,5,16,1,3,1,public_dataset_output/results/confusion_matrices/ar4/random_forest/repeat_02_fold_05.png
ar4,SVM,1,1,18,0,3,1,public_dataset_output/results/confusion_matrices/ar4/svm/repeat_01_fold_01.png
ar4,SVM,1,2,18,0,4,0,public_dataset_output/results/confusion_matrices/ar4/svm/repeat_01_fold_02.png
ar4,SVM,1,3,17,0,2,2,public_dataset_output/results/confusion_matrices/ar4/svm/repeat_01_fold_03.png
ar4,SVM,1,4,15,2,2,2,public_dataset_output/results/confusion_matrices/ar4/svm/repeat_01_fold_04.png
ar4,SVM,1,5,17,0,3,1,public_dataset_output/results/confusion_matrices/ar4/svm/repeat_01_fold_05.png
ar4,SVM,2,1,18,0,2,2,public_dataset_output/results/confusion_matrices/ar4/svm/repeat_02_fold_01.png
ar4,SVM,2,2,17,1,3,1,public_dataset_output/results/confusion_matrices/ar4/svm/repeat_02_fold_02.png
ar4,SVM,2,3,17,0,3,1,public_dataset_output/results/confusion_matrices/ar4/svm/repeat_02_fold_03.png
ar4,SVM,2,4,17,0,4,0,public_dataset_output/results/confusion_matrices/ar4/svm/repeat_02_fold_04.png
ar4,SVM,2,5,16,1,4,0,public_dataset_output/results/confusion_matrices/ar4/svm/repeat_02_fold_05.png
ar4,Logistic Regression,1,1,17,1,3,1,public_dataset_output/results/confusion_matrices/ar4/logistic_regression/repeat_01_fold_01.png
ar4,Logistic Regression,1,2,17,1,2,2,public_dataset_output/results/confusion_matrices/ar4/logistic_regression/repeat_01_fold_02.png
ar4,Logistic Regression,1,3,17,0,2,2,public_dataset_output/results/confusion_matrices/ar4/logistic_regression/repeat_01_fold_03.png
ar4,Logistic Regression,1,4,14,3,2,2,public_dataset_output/results/confusion_matrices/ar4/logistic_regression/repeat_01_fold_04.png
ar4,Logistic Regression,1,5,17,0,2,2,public_dataset_output/results/confusion_matrices/ar4/logistic_regression/repeat_01_fold_05.png
ar4,Logistic Regression,2,1,17,1,2,2,public_dataset_output/results/confusion_matrices/ar4/logistic_regression/repeat_02_fold_01.png
ar4,Logistic Regression,2,2,17,1,3,1,public_dataset_output/results/confusion_matrices/ar4/logistic_regression/repeat_02_fold_02.png
ar4,Logistic Regression,2,3,16,1,2,2,public_dataset_output/results/confusion_matrices/ar4/logistic_regression/repeat_02_fold_03.png
ar4,Logistic Regression,2,4,16,1,1,3,public_dataset_output/results/confusion_matrices/ar4/logistic_regression/repeat_02_fold_04.png
ar4,Logistic Regression,2,5,16,1,4,0,public_dataset_output/results/confusion_matrices/ar4/logistic_regression/repeat_02_fold_05.png
ar5,Random Forest,1,1,5,1,0,2,public_dataset_output/results/confusion_matrices/ar5/random_forest/repeat_01_fold_01.png
ar5,Random Forest,1,2,5,1,0,1,public_dataset_output/results/confusion_matrices/ar5/random_forest/repeat_01_fold_02.png
ar5,Random Forest,1,3,6,0,1,0,public_dataset_output/results/confusion_matrices/ar5/random_forest/repeat_01_fold_03.png
ar5,Random Forest,1,4,3,2,1,1,public_dataset_output/results/confusion_matrices/ar5/random_forest/repeat_01_fold_04.png
ar5,Random Forest,1,5,5,0,1,1,public_dataset_output/results/confusion_matrices/ar5/random_forest/repeat_01_fold_05.png
ar5,Random Forest,2,1,5,1,0,2,public_dataset_output/results/confusion_matrices/ar5/random_forest/repeat_02_fold_01.png
ar5,Random Forest,2,2,4,2,0,1,public_dataset_output/results/confusion_matrices/ar5/random_forest/repeat_02_fold_02.png
ar5,Random Forest,2,3,5,1,1,0,public_dataset_output/results/confusion_matrices/ar5/random_forest/repeat_02_fold_03.png
ar5,Random Forest,2,4,5,0,0,2,public_dataset_output/results/confusion_matrices/ar5/random_forest/repeat_02_fold_04.png
ar5,Random Forest,2,5,5,0,1,1,public_dataset_output/results/confusion_matrices/ar5/random_forest/repeat_02_fold_05.png
ar5,SVM,1,1,6,0,1,1,public_dataset_output/results/confusion_matrices/ar5/svm/repeat_01_fold_01.png
ar5,SVM,1,2,6,0,0,1,public_dataset_output/results/confusion_matrices/ar5/svm/repeat_01_fold_02.png
ar5,SVM,1,3,6,0,1,0,public_dataset_output/results/confusion_matrices/ar5/svm/repeat_01_fold_03.png
ar5,SVM,1,4,3,2,1,1,public_dataset_output/results/confusion_matrices/ar5/svm/repeat_01_fold_04.png
ar5,SVM,1,5,5,0,2,0,public_dataset_output/results/confusion_matrices/ar5/svm/repeat_01_fold_05.png
ar5,SVM,2,1,6,0,0,2,public_dataset_output/results/confusion_matrices/ar5/svm/repeat_02_fold_01.png
ar5,SVM,2,2,4,2,0,1,public_dataset_output/results/confusion_matrices/ar5/svm/repeat_02_fold_02.png
ar5,SVM,2,3,6,0,1,0,public_dataset_output/results/confusion_matrices/ar5/svm/repeat_02_fold_03.png
ar5,SVM,2,4,5,0,2,0,public_dataset_output/results/confusion_matrices/ar5/svm/repeat_02_fold_04.png
ar5,SVM,2,5,5,0,2,0,public_dataset_output/results/confusion_matrices/ar5/svm/repeat_02_fold_05.png
ar5,Logistic Regression,1,1,6,0,0,2,public_dataset_output/results/confusion_matrices/ar5/logistic_regression/repeat_01_fold_01.png
ar5,Logistic Regression,1,2,5,1,0,1,public_dataset_output/results/confusion_matrices/ar5/logistic_regression/repeat_01_fold_02.png
ar5,Logistic Regression,1,3,6,0,1,0,public_dataset_output/results/confusion_matrices/ar5/logistic_regression/repeat_01_fold_03.png
ar5,Logistic Regression,1,4,3,2,1,1,public_dataset_output/results/confusion_matrices/ar5/logistic_regression/repeat_01_fold_04.png
ar5,Logistic Regression,1,5,5,0,1,1,public_dataset_output/results/confusion_matrices/ar5/logistic_regression/repeat_01_fold_05.png
ar5,Logistic Regression,2,1,5,1,0,2,public_dataset_output/results/confusion_matrices/ar5/logistic_regression/repeat_02_fold_01.png
ar5,Logistic Regression,2,2,4,2,0,1,public_dataset_output/results/confusion_matrices/ar5/logistic_regression/repeat_02_fold_02.png
ar5,Logistic Regression,2,3,5,1,1,0,public_dataset_output/results/confusion_matrices/ar5/logistic_regression/repeat_02_fold_03.png
ar5,Logistic Regression,2,4,5,0,0,2,public_dataset_output/results/confusion_matrices/ar5/logistic_regression/repeat_02_fold_04.png
ar5,Logistic Regression,2,5,5,0,1,1,public_dataset_output/results/confusion_matrices/ar5/logistic_regression/repeat_02_fold_05.png
ar6,Random Forest,1,1,17,1,3,0,public_dataset_output/results/confusion_matrices/ar6/random_forest/repeat_01_fold_01.png
ar6,Random Forest,1,2,17,0,3,0,public_dataset_output/results/confusion_matrices/ar6/random_forest/repeat_01_fold_02.png
ar6,Random Forest,1,3,16,1,2,1,public_dataset_output/results/confusion_matrices/ar6/random_forest/repeat_01_fold_03.png
ar6,Random Forest,1,4,17,0,3,0,public_dataset_output/results/confusion_matrices/ar6/random_forest/repeat_01_fold_04.png
ar6,Random Forest,1,5,17,0,2,1,public_dataset_output/results/confusion_matrices/ar6/random_forest/repeat_01_fold_05.png
ar6,Random Forest,2,1,18,0,3,0,public_dataset_output/results/confusion_matrices/ar6/random_forest/repeat_02_fold_01.png
ar6,Random Forest,2,2,17,0,2,1,public_dataset_output/results/confusion_matrices/ar6/random_forest/repeat_02_fold_02.png
ar6,Random Forest,2,3,17,0,2,1,public_dataset_output/results/confusion_matrices/ar6/random_forest/repeat_02_fold_03.png
ar6,Random Forest,2,4,17,0,2,1,public_dataset_output/results/confusion_matrices/ar6/random_forest/repeat_02_fold_04.png
ar6,Random Forest,2,5,16,1,3,0,public_dataset_output/results/confusion_matrices/ar6/random_forest/repeat_02_fold_05.png
ar6,SVM,1,1,18,0,3,0,public_dataset_output/results/confusion_matrices/ar6/svm/repeat_01_fold_01.png
ar6,SVM,1,2,17,0,3,0,public_dataset_output/results/confusion_matrices/ar6/svm/repeat_01_fold_02.png
ar6,SVM,1,3,17,0,2,1,public_dataset_output/results/confusion_matrices/ar6/svm/repeat_01_fold_03.png
ar6,SVM,1,4,17,0,3,0,public_dataset_output/results/confusion_matrices/ar6/svm/repeat_01_fold_04.png
ar6,SVM,1,5,17,0,2,1,public_dataset_output/results/confusion_matrices/ar6/svm/repeat_01_fold_05.png
ar6,SVM,2,1,18,0,3,0,public_dataset_output/results/confusion_matrices/ar6/svm/repeat_02_fold_01.png
ar6,SVM,2,2,17,0,2,1,public_dataset_output/results/confusion_matrices/ar6/svm/repeat_02_fold_02.png
ar6,SVM,2,3,17,0,3,0,public_dataset_output/results/confusion_matrices/ar6/svm/repeat_02_fold_03.png
ar6,SVM,2,4,17,0,2,1,public_dataset_output/results/confusion_matrices/ar6/svm/repeat_02_fold_04.png
ar6,SVM,2,5,17,0,3,0,public_dataset_output/results/confusion_matrices/ar6/svm/repeat_02_fold_05.png
ar6,Logistic Regression,1,1,16,2,2,1,public_dataset_output/results/confusion_matrices/ar6/logistic_regression/repeat_01_fold_01.png
ar6,Logistic Regression,1,2,17,0,3,0,public_dataset_output/results/confusion_matrices/ar6/logistic_regression/repeat_01_fold_02.png
ar6,Logistic Regression,1,3,17,0,2,1,public_dataset_output/results/confusion_matrices/ar6/logistic_regression/repeat_01_fold_03.png
ar6,Logistic Regression,1,4,17,0,2,1,public_dataset_output/results/confusion_matrices/ar6/logistic_regression/repeat_01_fold_04.png
ar6,Logistic Regression,1,5,17,0,1,2,public_dataset_output/results/confusion_matrices/ar6/logistic_regression/repeat_01_fold_05.png
ar6,Logistic Regression,2,1,17,1,2,1,public_dataset_output/results/confusion_matrices/ar6/logistic_regression/repeat_02_fold_01.png
ar6,Logistic Regression,2,2,17,0,1,2,public_dataset_output/results/confusion_matrices/ar6/logistic_regression/repeat_02_fold_02.png
ar6,Logistic Regression,2,3,17,0,3,0,public_dataset_output/results/confusion_matrices/ar6/logistic_regression/repeat_02_fold_03.png
ar6,Logistic Regression,2,4,17,0,1,2,public_dataset_output/results/confusion_matrices/ar6/logistic_regression/repeat_02_fold_04.png
ar6,Logistic Regression,2,5,16,1,3,0,public_dataset_output/results/confusion_matrices/ar6/logistic_regression/repeat_02_fold_05.png
kc1,Random Forest,1,1,344,13,46,19,public_dataset_output/results/confusion_matrices/kc1/random_forest/repeat_01_fold_01.png
kc1,Random Forest,1,2,345,12,49,16,public_dataset_output/results/confusion_matrices/kc1/random_forest/repeat_01_fold_02.png
kc1,Random Forest,1,3,341,16,42,23,public_dataset_output/results/confusion_matrices/kc1/random_forest/repeat_01_fold_03.png
kc1,Random Forest,1,4,342,14,45,21,public_dataset_output/results/confusion_matrices/kc1/random_forest/repeat_01_fold_04.png
kc1,Random Forest,1,5,338,18,42,23,public_dataset_output/results/confusion_matrices/kc1/random_forest/repeat_01_fold_05.png
kc1,Random Forest,2,1,338,19,47,18,public_dataset_output/results/confusion_matrices/kc1/random_forest/repeat_02_fold_01.png
kc1,Random Forest,2,2,346,11,43,22,public_dataset_output/results/confusion_matrices/kc1/random_forest/repeat_02_fold_02.png
kc1,Random Forest,2,3,341,16,43,22,public_dataset_output/results/confusion_matrices/kc1/random_forest/repeat_02_fold_03.png
kc1,Random Forest,2,4,341,15,50,16,public_dataset_output/results/confusion_matrices/kc1/random_forest/repeat_02_fold_04.png
kc1,Random Forest,2,5,350,6,46,19,public_dataset_output/results/confusion_matrices/kc1/random_forest/repeat_02_fold_05.png
kc1,SVM,1,1,351,6,57,8,public_dataset_output/results/confusion_matrices/kc1/svm/repeat_01_fold_01.png
kc1,SVM,1,2,351,6,59,6,public_dataset_output/results/confusion_matrices/kc1/svm/repeat_01_fold_02.png
kc1,SVM,1,3,350,7,56,9,public_dataset_output/results/confusion_matrices/kc1/svm/repeat_01_fold_03.png
kc1,SVM,1,4,349,7,55,11,public_dataset_output/results/confusion_matrices/kc1/svm/repeat_01_fold_04.png
kc1,SVM,1,5,347,9,58,7,public_dataset_output/results/confusion_matrices/kc1/svm/repeat_01_fold_05.png
kc1,SVM,2,1,350,7,58,7,public_dataset_output/results/confusion_matrices/kc1/svm/repeat_02_fold_01.png
kc1,SVM,2,2,350,7,57,8,public_dataset_output/results/confusion_matrices/kc1/svm/repeat_02_fold_02.png
kc1,SVM,2,3,351,6,57,8,public_dataset_output/results/confusion_matrices/kc1/svm/repeat_02_fold_03.png
kc1,SVM,2,4,345,11,55,11,public_dataset_output/results/confusion_matrices/kc1/svm/repeat_02_fold_04.png
kc1,SVM,2,5,353,3,57,8,public_dataset_output/results/confusion_matrices/kc1/svm/repeat_02_fold_05.png
kc1,Logistic Regression,1,1,352,5,53,12,public_dataset_output/results/confusion_matrices/kc1/logistic_regression/repeat_01_fold_01.png
kc1,Logistic Regression,1,2,348,9,52,13,public_dataset_output/results/confusion_matrices/kc1/logistic_regression/repeat_01_fold_02.png
kc1,Logistic Regression,1,3,348,9,54,11,public_dataset_output/results/confusion_matrices/kc1/logistic_regression/repeat_01_fold_03.png
kc1,Logistic Regression,1,4,345,11,49,17,public_dataset_output/results/confusion_matrices/kc1/logistic_regression/repeat_01_fold_04.png
kc1,Logistic Regression,1,5,344,12,51,14,public_dataset_output/results/confusion_matrices/kc1/logistic_regression/repeat_01_fold_05.png
kc1,Logistic Regression,2,1,346,11,54,11,public_dataset_output/results/confusion_matrices/kc1/logistic_regression/repeat_02_fold_01.png
kc1,Logistic Regression,2,2,349,8,51,14,public_dataset_output/results/confusion_matrices/kc1/logistic_regression/repeat_02_fold_02.png
kc1,Logistic Regression,2,3,348,9,50,15,public_dataset_output/results/confusion_matrices/kc1/logistic_regression/repeat_02_fold_03.png
kc1,Logistic Regression,2,4,345,11,50,16,public_dataset_output/results/confusion_matrices/kc1/logistic_regression/repeat_02_fold_04.png
kc1,Logistic Regression,2,5,350,6,52,13,public_dataset_output/results/confusion_matrices/kc1/logistic_regression/repeat_02_fold_05.png
kc2,Random Forest,1,1,72,11,9,13,public_dataset_output/results/confusion_matrices/kc2/random_forest/repeat_01_fold_01.png
kc2,Random Forest,1,2,75,8,8,14,public_dataset_output/results/confusion_matrices/kc2/random_forest/repeat_01_fold_02.png
