feature,importance,std,source
t,0.03788525367472741,0.003349115862761548,permutation
e,0.03788525367472741,0.003349115862761548,permutation
lOComment,0.005689900426742556,0.0007345629864783845,permutation
lOBlank,0.004409672830725531,0.0005215742057847139,permutation
ev(g),0.003935514461830292,0.0012190573856977157,permutation
v,0.002939781887150328,0.0006290421603329282,permutation
b,0.0027027027027027193,0.00037032952469921206,permutation
total_Op,0.0023707918444760834,0.00021205006899001534,permutation
n,0.0022759601706970447,0.0001896633475580778,permutation
v(g),0.0021811284969180168,0.0011059178558265022,permutation
branchCount,0.0018492176386913695,0.0010047235704323013,permutation
total_Opnd,0.0017543859649123306,0.00037032952469921206,permutation
iv(g),0.0012328117591276166,0.0004345733233718047,permutation
i,0.000853485064011461,0.0002844950213371167,permutation
d,0.0008060692271219417,0.00030360949442544453,permutation
uniq_Opnd,0.0007112375533428917,0.0004858677461337038,permutation
uniq_Op,0.0006638217164533722,0.00031452108016647996,permutation
locCodeAndComment,0.0005689900426743333,0.0003548276326954954,permutation
l,0.0,0.0,permutation
loc,-9.483167377900558e-05,0.0004645784244254732,permutation
lOCode,-0.0003793266951161445,0.0005106841922365588,permutation
