feature,importance,source
total_operators,0.0859678000458346,feature_importances
halstead_effort,0.07864575375828317,feature_importances
unique_operators,0.078349424719051,feature_importances
halstead_time,0.05758085350774734,feature_importances
halstead_volume,0.04847390832753354,feature_importances
total_operands,0.04718220583847804,feature_importances
halstead_length,0.047125269684840196,feature_importances
cyclomatic_density,0.04528043104381409,feature_importances
total_loc,0.03674957443630826,feature_importances
halstead_vocabulary,0.0364955687319036,feature_importances
halstead_level,0.035496348012188685,feature_importances
multiple_condition_count,0.03501417223852158,feature_importances
branch_count,0.03413781710874523,feature_importances
executable_loc,0.03177741196798238,feature_importances
design_density,0.02927692220621344,feature_importances
comment_loc,0.028892257446549694,feature_importances
halstead_error,0.02798609929104635,feature_importances
cyclomatic_complexity,0.027584696267014274,feature_importances
unique_operands,0.02697355231420707,feature_importances
condition_count,0.02676765527464148,feature_importances
halstead_difficulty,0.02546625527237687,feature_importances
decision_density,0.02331809109354101,feature_importances
normalized_cyclomatic_complexity,0.022372612400830813,feature_importances
decision_count,0.0195818050398066,feature_importances
call_pairs,0.015415104840909,feature_importances
design_complexity,0.015096009629252434,feature_importances
formal_parameters,0.009665928764724264,feature_importances
blank_loc,0.0033264707376549486,feature_importances
code_and_comment_loc,0.0,feature_importances
