feature,importance,source
unique_operators,1.0425456607402326,linear_coefficients
decision_density,0.887490960183736,linear_coefficients
halstead_vocabulary,0.7331974898128353,linear_coefficients
blank_loc,0.5827111397714659,linear_coefficients
executable_loc,0.4546287738552081,linear_coefficients
unique_operands,0.4455132375340839,linear_coefficients
total_operands,0.3392692038119396,linear_coefficients
halstead_level,0.3209360692105136,linear_coefficients
condition_count,0.30784036077151483,linear_coefficients
total_operators,0.2650416741979031,linear_coefficients
cyclomatic_complexity,0.2564181810066176,linear_coefficients
normalized_cyclomatic_complexity,0.23114613942392995,linear_coefficients
multiple_condition_count,0.21715664404603885,linear_coefficients
code_and_comment_loc,0.18659468410724067,linear_coefficients
halstead_error,0.18647973984619165,linear_coefficients
halstead_volume,0.18638317397226548,linear_coefficients
design_density,0.1760063376266186,linear_coefficients
comment_loc,0.17103593496199554,linear_coefficients
formal_parameters,0.15824800179481388,linear_coefficients
decision_count,0.14334457003601095,linear_coefficients
branch_count,0.14334457003601095,linear_coefficients
cyclomatic_density,0.0614532266257176,linear_coefficients
halstead_time,0.04028870830588857,linear_coefficients
halstead_effort,0.04028849163666649,linear_coefficients
call_pairs,0.039480585046641224,linear_coefficients
design_complexity,0.039480585046641224,linear_coefficients
halstead_length,0.017994561248942238,linear_coefficients
total_loc,0.013312472414059208,linear_coefficients
halstead_difficulty,0.004889463725631502,linear_coefficients
