feature,importance,source
loc,0.08161802259673166,feature_importances
n,0.07610871302313472,feature_importances
v,0.07235497478428378,feature_importances
e,0.07071138958409033,feature_importances
d,0.06715092550068308,feature_importances
i,0.06645900260189691,feature_importances
t,0.062035413052426464,feature_importances
lOCode,0.06199910494205378,feature_importances
total_Opnd,0.061954185494926095,feature_importances
total_Op,0.05683283298179516,feature_importances
uniq_Opnd,0.04765564132897502,feature_importances
lOBlank,0.03928165356630777,feature_importances
uniq_Op,0.038063947139730735,feature_importances
b,0.0379812409652102,feature_importances
l,0.031493305293489114,feature_importances
lOComment,0.030653372430261953,feature_importances
branchCount,0.02742164492641679,feature_importances
v(g),0.023875665920714547,feature_importances
iv(g),0.020852750151411827,feature_importances
ev(g),0.01428478091348985,feature_importances
locCodeAndComment,0.01121143280197005,feature_importances
