train_dataset,test_dataset,model,n_features,train_size,test_size,seconds,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,mcc
ar6,ar1,Random Forest,58,101,121,0.07066283400000017,0.8925619834710744,0.6354166666666666,0.3,0.3333333333333333,0.3157894736842105,0.7237103174603176,0.3096135834210971,0.25808983002117764
ar6,ar1,SVM,58,101,121,0.01084733300000007,0.9256198347107438,0.5,0.0,0.0,0.0,0.6810515873015873,0.2211515811497071,0.0
ar6,ar1,Logistic Regression,58,101,121,0.01490079100000008,0.8677685950413223,0.5198412698412699,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.6770833333333334,0.12703426545638902,0.03968253968253968
ar1,kc1,Random Forest,30,121,2109,0.06892987499999981,0.8454243717401612,0.5,0.0,0.0,0.0,0.5,0.15457562825983878,0.0
ar1,kc1,SVM,30,121,2109,0.013075291999999905,0.8454243717401612,0.5,0.0,0.0,0.0,0.5,0.15457562825983878,0.0
ar1,kc1,Logistic Regression,30,121,2109,0.009416625000000067,0.8454243717401612,0.5,0.0,0.0,0.0,0.5,0.15457562825983878,0.0
ar1,kc2,Random Forest,30,121,522,0.06520562499999993,0.7950191570881227,0.5,0.0,0.0,0.0,0.5,0.2049808429118774,0.0
ar1,kc2,SVM,30,121,522,0.009793667000000283,0.7950191570881227,0.5,0.0,0.0,0.0,0.5,0.2049808429118774,0.0
ar1,kc2,Logistic Regression,30,121,522,0.008587917000000278,0.7950191570881227,0.5,0.0,0.0,0.0,0.5,0.2049808429118774,0.0
ar1,kc3,Random Forest,30,121,458,0.06541304099999978,0.9061135371179039,0.5,0.0,0.0,0.0,0.5,0.09388646288209607,0.0
ar1,kc3,SVM,30,121,458,0.009775292000000046,0.9061135371179039,0.5,0.0,0.0,0.0,0.5,0.09388646288209607,0.0
ar1,kc3,Logistic Regression,30,121,458,0.008721250000000236,0.9061135371179039,0.5,0.0,0.0,0.0,0.5,0.09388646288209607,0.0
ar1,mc2,Random Forest,30,121,161,0.06469704200000015,0.6770186335403726,0.5,0.0,0.0,0.0,0.5,0.32298136645962733,0.0
ar1,mc2,SVM,30,121,161,0.008767250000000004,0.6770186335403726,0.5,0.0,0.0,0.0,0.5,0.32298136645962733,0.0
ar1,mc2,Logistic Regression,30,121,161,0.008614708000000082,0.6770186335403726,0.5,0.0,0.0,0.0,0.5,0.32298136645962733,0.0
ar1,mw1,Random Forest,30,121,403,0.06454895800000005,0.9230769230769231,0.5,0.0,0.0,0.0,0.5,0.07692307692307693,0.0
ar1,mw1,SVM,30,121,403,0.009342624999999938,0.9230769230769231,0.5,0.0,0.0,0.0,0.5,0.07692307692307693,0.0
ar1,mw1,Logistic Regression,30,121,403,0.00867929200000006,0.9230769230769231,0.5,0.0,0.0,0.0,0.5,0.07692307692307693,0.0
ar1,pc1,Random Forest,30,121,1109,0.06626037500000015,0.9305680793507665,0.5,0.0,0.0,0.0,0.5,0.06943192064923355,0.0
ar1,pc1,SVM,30,121,1109,0.010846499999999981,0.9305680793507665,0.5,0.0,0.0,0.0,0.5,0.06943192064923355,0.0
ar1,pc1,Logistic Regression,30,121,1109,0.009188124999999658,0.9305680793507665,0.5,0.0,0.0,0.0,0.5,0.06943192064923355,0.0
ar1,pc3,Random Forest,30,121,1563,0.06702645900000004,0.8976327575175944,0.5,0.0,0.0,0.0,0.5,0.10236724248240563,0.0
ar1,pc3,SVM,30,121,1563,0.011757165999999764,0.8976327575175944,0.5,0.0,0.0,0.0,0.5,0.10236724248240563,0.0
ar1,pc3,Logistic Regression,30,121,1563,0.009199124999999864,0.8976327575175944,0.5,0.0,0.0,0.0,0.5,0.10236724248240563,0.0
ar1,pc4,Random Forest,30,121,1458,0.06731204099999966,0.877914951989026,0.5,0.0,0.0,0.0,0.5,0.12208504801097393,0.0
ar1,pc4,SVM,30,121,1458,0.011850749999999799,0.877914951989026,0.5,0.0,0.0,0.0,0.5,0.12208504801097393,0.0
ar1,pc4,Logistic Regression,30,121,1458,0.008996916000000077,0.877914951989026,0.5,0.0,0.0,0.0,0.5,0.12208504801097393,0.0
ar3,ar4,Random Forest,58,63,107,0.06936979200000071,0.822429906542056,0.5442528735632184,0.6666666666666666,0.1,0.17391304347826086,0.7350574712643678,0.4155266624561057,0.20901083472001306
ar3,ar4,SVM,58,63,107,0.010427041999999886,0.8130841121495327,0.5192528735632184,0.5,0.05,0.09090909090909091,0.614367816091954,0.4341441769096723,0.11083847229342056
ar3,ar4,Logistic Regression,58,63,107,0.011104375000000388,0.8130841121495327,0.5577586206896552,0.5,0.15,0.23076923076923078,0.7499999999999999,0.470237674664988,0.1957424956822352
ar4,ar3,Random Forest,58,107,63,0.07197862499999985,0.7936507936507936,0.775,0.35294117647058826,0.75,0.48,0.8306818181818182,0.4100468975468975,0.4125586062374201
ar4,ar3,SVM,58,107,63,0.01118858300000003,0.8571428571428571,0.6511363636363636,0.42857142857142855,0.375,0.4,0.7931818181818182,0.42454481792717086,0.32024493467004
ar4,ar3,Logistic Regression,58,107,63,0.011504707999999475,0.7619047619047619,0.7568181818181818,0.3157894736842105,0.75,0.4444444444444444,0.8204545454545455,0.5758089133089133,0.37263098301105146
ar3,ar5,Random Forest,58,63,36,0.0676635000000001,0.8055555555555556,0.5625,1.0,0.125,0.2222222222222222,0.78125,0.6307748538011696,0.31622776601683794
ar3,ar5,SVM,58,63,36,0.010072375000000022,0.8055555555555556,0.5625,1.0,0.125,0.2222222222222222,0.6830357142857143,0.5689996159754225,0.31622776601683794
ar3,ar5,Logistic Regression,58,63,36,0.010838582999999957,0.8333333333333334,0.625,1.0,0.25,0.4,0.9375,0.8005952380952381,0.4537426064865151
ar5,ar3,Random Forest,58,36,63,0.0664040840000002,0.873015873015873,0.8204545454545454,0.5,0.75,0.6,0.8454545454545453,0.7234920634920635,0.5434343158238844
ar5,ar3,SVM,58,36,63,0.009830709000000049,0.873015873015873,0.553409090909091,0.5,0.125,0.2,0.7977272727272727,0.5000960401891252,0.2028577500763056
ar5,ar3,Logistic Regression,58,36,63,0.010155957999999465,0.7936507936507936,0.775,0.35294117647058826,0.75,0.48,0.825,0.6520974310776942,0.4125586062374201
ar3,ar6,Random Forest,58,63,101,0.06752554100000019,0.8514851485148515,0.5,0.0,0.0,0.0,0.7003875968992248,0.5094570326597877,0.0
ar3,ar6,SVM,58,63,101,0.010302208999999785,0.8514851485148515,0.5,0.0,0.0,0.0,0.3434108527131783,0.23564572151310897,0.0
ar3,ar6,Logistic Regression,58,63,101,0.010896415999999576,0.8712871287128713,0.5666666666666667,1.0,0.13333333333333333,0.23529411764705882,0.5356589147286822,0.2823730735562213,0.3403305978382135
ar6,ar3,Random Forest,58,101,63,0.0709385840000003,0.7777777777777778,0.7659090909090909,0.3333333333333333,0.75,0.46153846153846156,0.8556818181818182,0.4354427736006683,0.3919647479510927
ar6,ar3,SVM,58,101,63,0.01038262500000009,0.873015873015873,0.5,0.0,0.0,0.0,0.8159090909090908,0.7046401515151515,0.0
ar6,ar3,Logistic Regression,58,101,63,0.014508417000000051,0.8571428571428571,0.4909090909090909,0.0,0.0,0.0,0.22045454545454546,0.10817021540070287,-0.04843594796964828
ar3,kc1,Random Forest,30,63,2109,0.06801408300000045,0.8454243717401612,0.5,0.0,0.0,0.0,0.5,0.15457562825983878,0.0
ar3,kc1,SVM,30,63,2109,0.011806374999999925,0.8454243717401612,0.5,0.0,0.0,0.0,0.5,0.15457562825983878,0.0
ar3,kc1,Logistic Regression,30,63,2109,0.01016174999999997,0.8454243717401612,0.5,0.0,0.0,0.0,0.5,0.15457562825983878,0.0
ar3,kc2,Random Forest,30,63,522,0.06510716699999985,0.7950191570881227,0.5,0.0,0.0,0.0,0.5,0.2049808429118774,0.0
ar3,kc2,SVM,30,63,522,0.009474249999999351,0.7950191570881227,0.5,0.0,0.0,0.0,0.5,0.2049808429118774,0.0
ar3,kc2,Logistic Regression,30,63,522,0.008695915999999748,0.7950191570881227,0.5,0.0,0.0,0.0,0.5,0.2049808429118774,0.0
ar3,kc3,Random Forest,30,63,458,0.06968416600000005,0.9061135371179039,0.5,0.0,0.0,0.0,0.5,0.09388646288209607,0.0
ar3,kc3,SVM,30,63,458,0.0093022920000001,0.9061135371179039,0.5,0.0,0.0,0.0,0.5,0.09388646288209607,0.0
ar3,kc3,Logistic Regression,30,63,458,0.008544665999999701,0.9061135371179039,0.5,0.0,0.0,0.0,0.5,0.09388646288209607,0.0
ar3,mc2,Random Forest,30,63,161,0.06407041699999994,0.6770186335403726,0.5,0.0,0.0,0.0,0.5,0.32298136645962733,0.0
ar3,mc2,SVM,30,63,161,0.008556375000000394,0.6770186335403726,0.5,0.0,0.0,0.0,0.5,0.32298136645962733,0.0
ar3,mc2,Logistic Regression,30,63,161,0.008722500000000188,0.6770186335403726,0.5,0.0,0.0,0.0,0.5,0.32298136645962733,0.0
ar3,mw1,Random Forest,30,63,403,0.0653439579999997,0.9230769230769231,0.5,0.0,0.0,0.0,0.5,0.07692307692307693,0.0
ar3,mw1,SVM,30,63,403,0.008919333999999779,0.9230769230769231,0.5,0.0,0.0,0.0,0.5,0.07692307692307693,0.0
ar3,mw1,Logistic Regression,30,63,403,0.009041665999999893,0.9230769230769231,0.5,0.0,0.0,0.0,0.5,0.07692307692307693,0.0
ar3,pc1,Random Forest,30,63,1109,0.06651512500000045,0.9305680793507665,0.5,0.0,0.0,0.0,0.5,0.06943192064923355,0.0
ar3,pc1,SVM,30,63,1109,0.01008462500000018,0.9305680793507665,0.5,0.0,0.0,0.0,0.5,0.06943192064923355,0.0
ar3,pc1,Logistic Regression,30,63,1109,0.008983457999999445,0.9305680793507665,0.5,0.0,0.0,0.0,0.5,0.06943192064923355,0.0
ar3,pc3,Random Forest,30,63,1563,0.06730837500000053,0.8976327575175944,0.5,0.0,0.0,0.0,0.5,0.10236724248240563,0.0
ar3,pc3,SVM,30,63,1563,0.01116504100000082,0.8976327575175944,0.5,0.0,0.0,0.0,0.5,0.10236724248240563,0.0
ar3,pc3,Logistic Regression,30,63,1563,0.009116458999999466,0.8976327575175944,0.5,0.0,0.0,0.0,0.5,0.10236724248240563,0.0
ar3,pc4,Random Forest,30,63,1458,0.06714837500000037,0.877914951989026,0.5,0.0,0.0,0.0,0.5,0.12208504801097393,0.0
ar3,pc4,SVM,30,63,1458,0.011091207999999853,0.877914951989026,0.5,0.0,0.0,0.0,0.5,0.12208504801097393,0.0
ar3,pc4,Logistic Regression,30,63,1458,0.008873624999999663,0.877914951989026,0.5,0.0,0.0,0.0,0.5,0.12208504801097393,0.0
ar4,ar5,Random Forest,58,107,36,0.07179795800000033,0.8611111111111112,0.8660714285714286,0.6363636363636364,0.875,0.7368421052631579,0.9084821428571429,0.7686011904761905,0.6607748305008119
ar4,ar5,SVM,58,107,36,0.010931667000000367,0.8611111111111112,0.7767857142857143,0.7142857142857143,0.625,0.6666666666666666,0.8883928571428572,0.6542478354978355,0.5814999169501999
ar4,ar5,Logistic Regression,58,107,36,0.01127637500000045,0.8888888888888888,0.8839285714285714,0.7,0.875,0.7777777777777778,0.9107142857142856,0.7885912698412698,0.7127180599416806
ar5,ar4,Random Forest,58,36,107,0.06647420799999981,0.8598130841121495,0.6442528735632184,0.8571428571428571,0.3,0.4444444444444444,0.8189655172413793,0.5935203761015269,0.45486243612370053
ar5,ar4,SVM,58,36,107,0.010083999999999982,0.8504672897196262,0.6192528735632183,0.8333333333333334,0.25,0.38461538461538464,0.8224137931034482,0.6411039807182608,0.40414495377177917
ar5,ar4,Logistic Regression,58,36,107,0.01029512499999985,0.8411214953271028,0.7290229885057471,0.5789473684210527,0.55,0.5641025641025641,0.8459770114942529,0.6010804202058188,0.4672674841259427
ar4,ar6,Random Forest,58,107,101,0.07286841599999949,0.8613861386138614,0.5608527131782945,0.6666666666666666,0.13333333333333333,0.2222222222222222,0.6534883720930232,0.31288278172339756,0.2549359792782484
ar4,ar6,SVM,58,107,101,0.011778750000000393,0.8514851485148515,0.5,0.0,0.0,0.0,0.6038759689922482,0.3577913042693899,0.0
ar4,ar6,Logistic Regression,58,107,101,0.011388750000000059,0.8514851485148515,0.5825581395348838,0.5,0.2,0.2857142857142857,0.6604651162790698,0.3671193236274588,0.24839755713216846
ar6,ar4,Random Forest,58,101,107,0.07059425000000008,0.8598130841121495,0.6635057471264367,0.7777777777777778,0.35,0.4827586206896552,0.7094827586206897,0.528238258764445,0.45930730185742985
ar6,ar4,SVM,58,101,107,0.010824416999999364,0.8130841121495327,0.5,0.0,0.0,0.0,0.8270114942528736,0.5624852801142483,0.0
ar6,ar4,Logistic Regression,58,101,107,0.014914667000000215,0.8130841121495327,0.5,0.0,0.0,0.0,0.18908045977011495,0.1181290965207534,0.0
ar4,kc1,Random Forest,30,107,2109,0.06852679200000011,0.8454243717401612,0.5,0.0,0.0,0.0,0.5,0.15457562825983878,0.0
ar4,kc1,SVM,30,107,2109,0.015725583000000043,0.8454243717401612,0.5,0.0,0.0,0.0,0.5,0.15457562825983878,0.0
ar4,kc1,Logistic Regression,30,107,2109,0.009582041999999902,0.8454243717401612,0.5,0.0,0.0,0.0,0.5,0.15457562825983878,0.0
ar4,kc2,Random Forest,30,107,522,0.06623225000000055,0.7950191570881227,0.5,0.0,0.0,0.0,0.5,0.2049808429118774,0.0
ar4,kc2,SVM,30,107,522,0.010669208000000374,0.7950191570881227,0.5,0.0,0.0,0.0,0.5,0.2049808429118774,0.0
ar4,kc2,Logistic Regression,30,107,522,0.00980354200000022,0.7950191570881227,0.5,0.0,0.0,0.0,0.5,0.2049808429118774,0.0
ar4,kc3,Random Forest,30,107,458,0.0664780829999998,0.9061135371179039,0.5,0.0,0.0,0.0,0.5,0.09388646288209607,0.0
ar4,kc3,SVM,30,107,458,0.010403249999999531,0.9061135371179039,0.5,0.0,0.0,0.0,0.5,0.09388646288209607,0.0
ar4,kc3,Logistic Regression,30,107,458,0.008685832999999477,0.9061135371179039,0.5,0.0,0.0,0.0,0.5,0.09388646288209607,0.0
ar4,mc2,Random Forest,30,107,161,0.06552116699999999,0.6770186335403726,0.5,0.0,0.0,0.0,0.5,0.32298136645962733,0.0
ar4,mc2,SVM,30,107,161,0.009381707999999378,0.6770186335403726,0.5,0.0,0.0,0.0,0.5,0.32298136645962733,0.0
ar4,mc2,Logistic Regression,30,107,161,0.008633416000000338,0.6770186335403726,0.5,0.0,0.0,0.0,0.5,0.32298136645962733,0.0
ar4,mw1,Random Forest,30,107,403,0.06601575000000004,0.9230769230769231,0.5,0.0,0.0,0.0,0.5,0.07692307692307693,0.0
ar4,mw1,SVM,30,107,403,0.010197624999999988,0.9230769230769231,0.5,0.0,0.0,0.0,0.5,0.07692307692307693,0.0
ar4,mw1,Logistic Regression,30,107,403,0.008679749999999764,0.9230769230769231,0.5,0.0,0.0,0.0,0.5,0.07692307692307693,0.0
ar4,pc1,Random Forest,30,107,1109,0.06698404199999963,0.9305680793507665,0.5,0.0,0.0,0.0,0.5,0.06943192064923355,0.0
ar4,pc1,SVM,30,107,1109,0.012553083000000242,0.9305680793507665,0.5,0.0,0.0,0.0,0.5,0.06943192064923355,0.0
ar4,pc1,Logistic Regression,30,107,1109,0.008969333999999662,0.9305680793507665,0.5,0.0,0.0,0.0,0.5,0.06943192064923355,0.0
ar4,pc3,Random Forest,30,107,1563,0.06765575000000013,0.8976327575175944,0.5,0.0,0.0,0.0,0.5,0.10236724248240563,0.0
ar4,pc3,SVM,30,107,1563,0.01404866699999996,0.8976327575175944,0.5,0.0,0.0,0.0,0.5,0.10236724248240563,0.0
ar4,pc3,Logistic Regression,30,107,1563,0.009097249999999946,0.8976327575175944,0.5,0.0,0.0,0.0,0.5,0.10236724248240563,0.0
ar4,pc4,Random Forest,30,107,1458,0.06747987500000008,0.877914951989026,0.5,0.0,0.0,0.0,0.5,0.12208504801097393,0.0
ar4,pc4,SVM,30,107,1458,0.013490707999999962,0.877914951989026,0.5,0.0,0.0,0.0,0.5,0.12208504801097393,0.0
ar4,pc4,Logistic Regression,30,107,1458,0.00916366600000007,0.877914951989026,0.5,0.0,0.0,0.0,0.5,0.12208504801097393,0.0
ar5,ar6,Random Forest,58,36,101,0.06666337500000008,0.8514851485148515,0.5,0.0,0.0,0.0,0.7193798449612404,0.32931166671787027,0.0
ar5,ar6,SVM,58,36,101,0.010069207999999996,0.8514851485148515,0.5,0.0,0.0,0.0,0.4976744186046512,0.3372207860979648,0.0
ar5,ar6,Logistic Regression,58,36,101,0.010129583999999525,0.8514851485148515,0.5,0.0,0.0,0.0,0.5627906976744186,0.2755570819173618,0.0
ar6,ar5,Random Forest,58,101,36,0.07008804099999999,0.8611111111111112,0.8660714285714286,0.6363636363636364,0.875,0.7368421052631579,0.8995535714285715,0.6837121212121212,0.6607748305008119
ar6,ar5,SVM,58,101,36,0.010400875000000198,0.7777777777777778,0.5,0.0,0.0,0.0,0.9151785714285714,0.712202380952381,0.0
ar6,ar5,Logistic Regression,58,101,36,0.014344499999999982,0.7777777777777778,0.5,0.0,0.0,0.0,0.1339285714285714,0.14605480146266886,0.0
ar5,kc1,Random Forest,30,36,2109,0.06759000000000004,0.8454243717401612,0.5,0.0,0.0,0.0,0.5,0.15457562825983878,0.0
ar5,kc1,SVM,30,36,2109,0.011913875000000296,0.8454243717401612,0.5,0.0,0.0,0.0,0.5,0.15457562825983878,0.0
ar5,kc1,Logistic Regression,30,36,2109,0.009237708000000566,0.8454243717401612,0.5,0.0,0.0,0.0,0.5,0.15457562825983878,0.0
ar5,kc2,Random Forest,30,36,522,0.06589358300000026,0.7950191570881227,0.5,0.0,0.0,0.0,0.5,0.2049808429118774,0.0
ar5,kc2,SVM,30,36,522,0.009356208999999893,0.7950191570881227,0.5,0.0,0.0,0.0,0.5,0.2049808429118774,0.0
ar5,kc2,Logistic Regression,30,36,522,0.008605083000000846,0.7950191570881227,0.5,0.0,0.0,0.0,0.5,0.2049808429118774,0.0
ar5,kc3,Random Forest,30,36,458,0.06475383400000023,0.9061135371179039,0.5,0.0,0.0,0.0,0.5,0.09388646288209607,0.0
ar5,kc3,SVM,30,36,458,0.009031208999999762,0.9061135371179039,0.5,0.0,0.0,0.0,0.5,0.09388646288209607,0.0
ar5,kc3,Logistic Regression,30,36,458,0.008603166999999523,0.9061135371179039,0.5,0.0,0.0,0.0,0.5,0.09388646288209607,0.0
ar5,mc2,Random Forest,30,36,161,0.06491316699999938,0.6770186335403726,0.5,0.0,0.0,0.0,0.5,0.32298136645962733,0.0
ar5,mc2,SVM,30,36,161,0.008451582999999374,0.6770186335403726,0.5,0.0,0.0,0.0,0.5,0.32298136645962733,0.0
ar5,mc2,Logistic Regression,30,36,161,0.008609915999999274,0.6770186335403726,0.5,0.0,0.0,0.0,0.5,0.32298136645962733,0.0
ar5,mw1,Random Forest,30,36,403,0.06459970800000026,0.9230769230769231,0.5,0.0,0.0,0.0,0.5,0.07692307692307693,0.0
ar5,mw1,SVM,30,36,403,0.00890941699999992,0.9230769230769231,0.5,0.0,0.0,0.0,0.5,0.07692307692307693,0.0
ar5,mw1,Logistic Regression,30,36,403,0.008621332999999787,0.9230769230769231,0.5,0.0,0.0,0.0,0.5,0.07692307692307693,0.0
ar5,pc1,Random Forest,30,36,1109,0.06548008399999983,0.9305680793507665,0.5,0.0,0.0,0.0,0.5,0.06943192064923355,0.0
ar5,pc1,SVM,30,36,1109,0.010357584000000308,0.9305680793507665,0.5,0.0,0.0,0.0,0.5,0.06943192064923355,0.0
ar5,pc1,Logistic Regression,30,36,1109,0.008859999999999424,0.9305680793507665,0.5,0.0,0.0,0.0,0.5,0.06943192064923355,0.0
ar5,pc3,Random Forest,30,36,1563,0.0664195000000003,0.8976327575175944,0.5,0.0,0.0,0.0,0.5,0.10236724248240563,0.0
ar5,pc3,SVM,30,36,1563,0.01097733299999959,0.8976327575175944,0.5,0.0,0.0,0.0,0.5,0.10236724248240563,0.0
ar5,pc3,Logistic Regression,30,36,1563,0.009227666999999329,0.8976327575175944,0.5,0.0,0.0,0.0,0.5,0.10236724248240563,0.0
ar5,pc4,Random Forest,30,36,1458,0.06604879200000013,0.877914951989026,0.5,0.0,0.0,0.0,0.5,0.12208504801097393,0.0
ar5,pc4,SVM,30,36,1458,0.010585958000000062,0.877914951989026,0.5,0.0,0.0,0.0,0.5,0.12208504801097393,0.0
ar5,pc4,Logistic Regression,30,36,1458,0.009095541999999845,0.877914951989026,0.5,0.0,0.0,0.0,0.5,0.12208504801097393,0.0
ar6,kc1,Random Forest,30,101,2109,0.06840175000000048,0.8454243717401612,0.5,0.0,0.0,0.0,0.5,0.15457562825983878,0.0
ar6,kc1,SVM,30,101,2109,0.014572750000000134,0.8454243717401612,0.5,0.0,0.0,0.0,0.5,0.15457562825983878,0.0
ar6,kc1,Logistic Regression,30,101,2109,0.00923312500000062,0.8454243717401612,0.5,0.0,0.0,0.0,0.5,0.15457562825983878,0.0
ar6,kc2,Random Forest,30,101,522,0.06535829199999998,0.7950191570881227,0.5,0.0,0.0,0.0,0.5,0.2049808429118774,0.0
ar6,kc2,SVM,30,101,522,0.010070708999999844,0.7950191570881227,0.5,0.0,0.0,0.0,0.5,0.2049808429118774,0.0
ar6,kc2,Logistic Regression,30,101,522,0.008729082999999527,0.7950191570881227,0.5,0.0,0.0,0.0,0.5,0.2049808429118774,0.0
ar6,kc3,Random Forest,30,101,458,0.06527833400000027,0.9061135371179039,0.5,0.0,0.0,0.0,0.5,0.09388646288209607,0.0
ar6,kc3,SVM,30,101,458,0.010116666000000052,0.9061135371179039,0.5,0.0,0.0,0.0,0.5,0.09388646288209607,0.0
ar6,kc3,Logistic Regression,30,101,458,0.008620999999999768,0.9061135371179039,0.5,0.0,0.0,0.0,0.5,0.09388646288209607,0.0
ar6,mc2,Random Forest,30,101,161,0.06560349999999993,0.6770186335403726,0.5,0.0,0.0,0.0,0.5,0.32298136645962733,0.0
ar6,mc2,SVM,30,101,161,0.00943266599999859,0.6770186335403726,0.5,0.0,0.0,0.0,0.5,0.32298136645962733,0.0
ar6,mc2,Logistic Regression,30,101,161,0.008512625000001606,0.6770186335403726,0.5,0.0,0.0,0.0,0.5,0.32298136645962733,0.0
ar6,mw1,Random Forest,30,101,403,0.06571570800000082,0.9230769230769231,0.5,0.0,0.0,0.0,0.5,0.07692307692307693,0.0
ar6,mw1,SVM,30,101,403,0.009747208000000285,0.9230769230769231,0.5,0.0,0.0,0.0,0.5,0.07692307692307693,0.0
ar6,mw1,Logistic Regression,30,101,403,0.00841649999999916,0.9230769230769231,0.5,0.0,0.0,0.0,0.5,0.07692307692307693,0.0
ar6,pc1,Random Forest,30,101,1109,0.0665201660000001,0.9305680793507665,0.5,0.0,0.0,0.0,0.5,0.06943192064923355,0.0
ar6,pc1,SVM,30,101,1109,0.01195566600000042,0.9305680793507665,0.5,0.0,0.0,0.0,0.5,0.06943192064923355,0.0
ar6,pc1,Logistic Regression,30,101,1109,0.008735083000001254,0.9305680793507665,0.5,0.0,0.0,0.0,0.5,0.06943192064923355,0.0
ar6,pc3,Random Forest,30,101,1563,0.0671501249999995,0.8976327575175944,0.5,0.0,0.0,0.0,0.5,0.10236724248240563,0.0
ar6,pc3,SVM,30,101,1563,0.013009750000000153,0.8976327575175944,0.5,0.0,0.0,0.0,0.5,0.10236724248240563,0.0
ar6,pc3,Logistic Regression,30,101,1563,0.00929991699999988,0.8976327575175944,0.5,0.0,0.0,0.0,0.5,0.10236724248240563,0.0
ar6,pc4,Random Forest,30,101,1458,0.06737616700000082,0.877914951989026,0.5,0.0,0.0,0.0,0.5,0.12208504801097393,0.0
ar6,pc4,SVM,30,101,1458,0.012688875000000266,0.877914951989026,0.5,0.0,0.0,0.0,0.5,0.12208504801097393,0.0
ar6,pc4,Logistic Regression,30,101,1458,0.00922279099999912,0.877914951989026,0.5,0.0,0.0,0.0,0.5,0.12208504801097393,0.0
kc1,kc2,Random Forest,50,2109,522,0.22577037499999975,0.7796934865900383,0.5770633937619637,0.43103448275862066,0.2336448598130841,0.30303030303030304,0.7677513793491724,0.4366176354171768,0.19797988908567987
