feature,importance,source
LOC_CODE_AND_COMMENT,0.1385938603676032,feature_importances
PERCENT_COMMENTS,0.07262984509958889,feature_importances
CYCLOMATIC_DENSITY,0.050960593788151674,feature_importances
LOC_COMMENTS,0.047285554522766844,feature_importances
LOC_BLANK,0.04017906857219347,feature_importances
HALSTEAD_CONTENT,0.03359027842300136,feature_importances
NUMBER_OF_LINES,0.03301401923873244,feature_importances
HALSTEAD_VOLUME,0.029693578864885585,feature_importances
HALSTEAD_DIFFICULTY,0.02893382426344151,feature_importances
HALSTEAD_PROG_TIME,0.028173046214386946,feature_importances
NORMALIZED_CYLOMATIC_COMPLEXITY,0.02777797442477103,feature_importances
HALSTEAD_LENGTH,0.027718969169541977,feature_importances
NUM_OPERANDS,0.02716141680718165,feature_importances
CONDITION_COUNT,0.026050796548058294,feature_importances
LOC_TOTAL,0.025812268918769844,feature_importances
LOC_EXECUTABLE,0.02460235663127988,feature_importances
HALSTEAD_EFFORT,0.02416957590368786,feature_importances
MULTIPLE_CONDITION_COUNT,0.024125982348876605,feature_importances
NUM_OPERATORS,0.022641233232676073,feature_importances
EDGE_COUNT,0.02236801616076338,feature_importances
NUM_UNIQUE_OPERANDS,0.021380208826249348,feature_importances
NUM_UNIQUE_OPERATORS,0.020823843856050784,feature_importances
MAINTENANCE_SEVERITY,0.019517968384598936,feature_importances
DECISION_COUNT,0.019133404415504044,feature_importances
MODIFIED_CONDITION_COUNT,0.01842106088286398,feature_importances
CALL_PAIRS,0.018085747824735286,feature_importances
NODE_COUNT,0.01789737789165393,feature_importances
HALSTEAD_ERROR_EST,0.016974619508378128,feature_importances
DECISION_DENSITY,0.016821759091945155,feature_importances
HALSTEAD_LEVEL,0.013976273984684883,feature_importances
PARAMETER_COUNT,0.01386269275427404,feature_importances
DESIGN_DENSITY,0.01134357046047068,feature_importances
CYCLOMATIC_COMPLEXITY,0.009761631207124324,feature_importances
BRANCH_COUNT,0.009103488664685806,feature_importances
DESIGN_COMPLEXITY,0.009051324886783481,feature_importances
ESSENTIAL_COMPLEXITY,0.007228324750480456,feature_importances
ESSENTIAL_DENSITY,0.001134443109158155,feature_importances
