feature,importance,std,source
ev(g),0.029501915708812297,0.003228409874780226,permutation
e,0.016475095785440673,0.005885935438979783,permutation
t,0.016475095785440673,0.005885935438979783,permutation
v(g),0.005172413793103492,0.00227477817759349,permutation
loc,0.004789272030651381,0.0012850965387929934,permutation
iv(g),0.004789272030651381,0.0019630173881148823,permutation
v,0.00402298850574716,0.0020000587181821148,permutation
total_Opnd,0.003639846743295061,0.0023384206160409326,permutation
total_Op,0.00363984674329505,0.001591307253432595,permutation
b,0.0034482758620689945,0.002063281535300594,permutation
lOCode,0.0032567049808429394,0.001226652152764924,permutation
n,0.003065134099616884,0.0012707374675691293,permutation
i,0.002298850574712663,0.0011494252873563316,permutation
lOBlank,0.0021072796934866076,0.0013409961685823867,permutation
uniq_Opnd,0.0021072796934866076,0.0013409961685823869,permutation
lOCodeAndComment,0.0019157088122605526,0.0,permutation
branchCount,0.0017241379310345083,0.0013409961685823567,permutation
l,0.0017241379310344973,0.0005747126436781658,permutation
uniq_Op,0.00019157088122605525,0.0005747126436781658,permutation
d,0.0,0.0,permutation
lOComment,-0.0003831417624520661,0.0018770036343165796,permutation
