feature,importance,source
total_Opnd,1.2007895369724104,linear_coefficients
uniq_Opnd,0.8718835859268811,linear_coefficients
v,0.6569512095188741,linear_coefficients
uniq_Op,0.4943272407200156,linear_coefficients
total_Op,0.482251934195225,linear_coefficients
b,0.48178730501533695,linear_coefficients
l,0.467797740029667,linear_coefficients
iv(g),0.24869656111578206,linear_coefficients
lOCode,0.17005848591113215,linear_coefficients
branchCount,0.15611576526179138,linear_coefficients
n,0.13053165149643522,linear_coefficients
ev(g),0.09990465606370981,linear_coefficients
d,0.09114334320388784,linear_coefficients
e,0.08281618304490378,linear_coefficients
lOComment,0.03760119505916662,linear_coefficients
lOCodeAndComment,0.03442834546358764,linear_coefficients
t,0.020374911435427308,linear_coefficients
v(g),0.01827900864582106,linear_coefficients
loc,0.017880058376725405,linear_coefficients
i,0.016215550804953946,linear_coefficients
lOBlank,0.010055913550711781,linear_coefficients
