feature,importance,source
condition_count,0.9506746914715317,linear_coefficients
cyclomatic_complexity,0.5820876898206598,linear_coefficients
halstead_difficulty,0.5039504861160241,linear_coefficients
total_operands,0.5000750066517046,linear_coefficients
halstead_length,0.41191477047771574,linear_coefficients
unique_operands,0.3934719612903155,linear_coefficients
blank_loc,0.38526786153403186,linear_coefficients
formal_parameters,0.37079727866383244,linear_coefficients
halstead_volume,0.36959166786086173,linear_coefficients
design_density,0.3456380726487239,linear_coefficients
branch_count,0.29924976225799976,linear_coefficients
decision_count,0.29911784543016096,linear_coefficients
call_pairs,0.2931433831680514,linear_coefficients
design_complexity,0.29314041129064633,linear_coefficients
halstead_vocabulary,0.2899946485266248,linear_coefficients
code_and_comment_loc,0.28783367812582605,linear_coefficients
total_operators,0.26731652438701997,linear_coefficients
multiple_condition_count,0.2552412271833833,linear_coefficients
unique_operators,0.23979854489381916,linear_coefficients
total_loc,0.19337171450424945,linear_coefficients
comment_loc,0.18988082140433693,linear_coefficients
executable_loc,0.16573403568115516,linear_coefficients
halstead_effort,0.14813534150048566,linear_coefficients
halstead_time,0.1481159582173198,linear_coefficients
halstead_level,0.11034709703670724,linear_coefficients
normalized_cyclomatic_complexity,0.08943877340804259,linear_coefficients
cyclomatic_density,0.07479671375814759,linear_coefficients
decision_density,0.015691401785995797,linear_coefficients
halstead_error,0.001624314829379351,linear_coefficients
