feature,importance,source
LOC_CODE_AND_COMMENT,1.199467694113993,linear_coefficients
HALSTEAD_CONTENT,0.8102466089572191,linear_coefficients
MAINTENANCE_SEVERITY,0.7559466636477621,linear_coefficients
GLOBAL_DATA_DENSITY,0.6792459396894986,linear_coefficients
ESSENTIAL_DENSITY,0.5866978018285481,linear_coefficients
NUM_OPERANDS,0.5627567214959857,linear_coefficients
NUM_UNIQUE_OPERATORS,0.5498243642897884,linear_coefficients
GLOBAL_DATA_COMPLEXITY,0.5398470362940979,linear_coefficients
NORMALIZED_CYLOMATIC_COMPLEXITY,0.5394708315174528,linear_coefficients
MODIFIED_CONDITION_COUNT,0.4954069446692183,linear_coefficients
DECISION_DENSITY,0.46591860503975874,linear_coefficients
NUM_UNIQUE_OPERANDS,0.41999158734183145,linear_coefficients
HALSTEAD_LEVEL,0.38835916602626047,linear_coefficients
DECISION_COUNT,0.3855603945265357,linear_coefficients
DESIGN_COMPLEXITY,0.3500197236606183,linear_coefficients
PERCENT_COMMENTS,0.3491706804149381,linear_coefficients
NUMBER_OF_LINES,0.32545202256549033,linear_coefficients
LOC_COMMENTS,0.3081819818624992,linear_coefficients
CYCLOMATIC_COMPLEXITY,0.28087542205990673,linear_coefficients
HALSTEAD_DIFFICULTY,0.2748264579276657,linear_coefficients
CALL_PAIRS,0.24903437351128382,linear_coefficients
BRANCH_COUNT,0.24021318099579766,linear_coefficients
CYCLOMATIC_DENSITY,0.20592373711294434,linear_coefficients
HALSTEAD_ERROR_EST,0.14749415825795192,linear_coefficients
NUM_OPERATORS,0.14502278389167764,linear_coefficients
PARAMETER_COUNT,0.11987722127627538,linear_coefficients
HALSTEAD_LENGTH,0.10317858877427682,linear_coefficients
ESSENTIAL_COMPLEXITY,0.10152437412050883,linear_coefficients
HALSTEAD_VOLUME,0.09917900986944693,linear_coefficients
NODE_COUNT,0.0822390653837845,linear_coefficients
LOC_TOTAL,0.0740722161530477,linear_coefficients
HALSTEAD_EFFORT,0.05719058163702293,linear_coefficients
HALSTEAD_PROG_TIME,0.05717915841062618,linear_coefficients
CONDITION_COUNT,0.05492327507134374,linear_coefficients
LOC_BLANK,0.05102841992789229,linear_coefficients
MULTIPLE_CONDITION_COUNT,0.02691633069040385,linear_coefficients
DESIGN_DENSITY,0.02070319653407908,linear_coefficients
EDGE_COUNT,0.018399586209632456,linear_coefficients
LOC_EXECUTABLE,0.005892296787883725,linear_coefficients
