feature,importance,source
D,1.324392278938269,linear_coefficients
uniq_Op,0.9843243843508639,linear_coefficients
uniq_Opnd,0.6596992337983499,linear_coefficients
I,0.36541901652544606,linear_coefficients
V,0.2749234763776294,linear_coefficients
L,0.23360256826725453,linear_coefficients
branchCount,0.2333894227457926,linear_coefficients
total_Opnd,0.22764251934700652,linear_coefficients
N,0.2194516647088255,linear_coefficients
total_Op,0.2024007822728021,linear_coefficients
B,0.1655419477511908,linear_coefficients
lOBlank,0.13628183325308973,linear_coefficients
v(g),0.12720661608833747,linear_coefficients
loc,0.10508952515921147,linear_coefficients
iv(G),0.10440388551560394,linear_coefficients
locCodeAndComment,0.0996558980186342,linear_coefficients
lOCode,0.07745827682762035,linear_coefficients
ev(g),0.04554880816267152,linear_coefficients
E,0.03105579443096962,linear_coefficients
T,0.030903769130930948,linear_coefficients
lOComment,0.014820489245151627,linear_coefficients
