model,mean,std,count,min,max
Logistic Regression,0.3758561900239049,0.14009933988556184,13,0.13333333333333333,0.5700000000000001
Random Forest,0.36508965482248174,0.1618339610205029,13,0.06666666666666667,0.55
SVM,0.19873840016739963,0.16174553254108873,13,0.0,0.448761483727001
