feature,importance,source
LOC_CODE_AND_COMMENT,0.05963889224165834,feature_importances
HALSTEAD_VOLUME,0.04348179561705032,feature_importances
HALSTEAD_EFFORT,0.0429272660857757,feature_importances
HALSTEAD_PROG_TIME,0.03963595326497802,feature_importances
PERCENT_COMMENTS,0.037855629876482326,feature_importances
LOC_BLANK,0.037822259710927716,feature_importances
NUM_OPERANDS,0.035672612925334295,feature_importances
NUMBER_OF_LINES,0.03475320196134918,feature_importances
HALSTEAD_CONTENT,0.03353006640682697,feature_importances
MAINTENANCE_SEVERITY,0.03310902251109873,feature_importances
HALSTEAD_DIFFICULTY,0.03194866692329926,feature_importances
HALSTEAD_LENGTH,0.03137321276608883,feature_importances
LOC_EXECUTABLE,0.03098573063653447,feature_importances
NUM_UNIQUE_OPERANDS,0.030942855974288277,feature_importances
NORMALIZED_CYLOMATIC_COMPLEXITY,0.02955509802324109,feature_importances
CALL_PAIRS,0.027646416050500635,feature_importances
EDGE_COUNT,0.02694580362542914,feature_importances
NODE_COUNT,0.02660651269100758,feature_importances
LOC_COMMENTS,0.026603356462649653,feature_importances
BRANCH_COUNT,0.026057601070471174,feature_importances
LOC_TOTAL,0.025672537027511447,feature_importances
NUM_OPERATORS,0.025486700228766337,feature_importances
CYCLOMATIC_COMPLEXITY,0.024992011522080353,feature_importances
HALSTEAD_ERROR_EST,0.02256294531394484,feature_importances
CYCLOMATIC_DENSITY,0.022364663643703098,feature_importances
NUM_UNIQUE_OPERATORS,0.02136519554170832,feature_importances
HALSTEAD_LEVEL,0.017398794642069462,feature_importances
DESIGN_COMPLEXITY,0.01719419957701031,feature_importances
GLOBAL_DATA_COMPLEXITY,0.017132508606816286,feature_importances
PARAMETER_COUNT,0.016651780506640637,feature_importances
GLOBAL_DATA_DENSITY,0.016357463308287346,feature_importances
ESSENTIAL_DENSITY,0.014030415981805712,feature_importances
DESIGN_DENSITY,0.013625889752967446,feature_importances
MODIFIED_CONDITION_COUNT,0.013358196671928018,feature_importances
DECISION_DENSITY,0.010928831948909139,feature_importances
CONDITION_COUNT,0.008968938792538475,feature_importances
ESSENTIAL_COMPLEXITY,0.008471440020613038,feature_importances
MULTIPLE_CONDITION_COUNT,0.00824587932286886,feature_importances
DECISION_COUNT,0.008099652764839317,feature_importances
