feature,importance,source
branch_count,0.08389053547189236,feature_importances
halstead_vocabulary,0.057946772881798295,feature_importances
halstead_effort,0.053978563743347356,feature_importances
halstead_time,0.05194479152872068,feature_importances
decision_count,0.051637439236410364,feature_importances
executable_loc,0.047077736418322996,feature_importances
cyclomatic_complexity,0.04705524967637626,feature_importances
condition_count,0.043636098617493894,feature_importances
halstead_level,0.042799683583396364,feature_importances
cyclomatic_density,0.04254648006349984,feature_importances
unique_operators,0.041537081216273294,feature_importances
normalized_cyclomatic_complexity,0.038973182975548644,feature_importances
total_loc,0.03598982316541708,feature_importances
total_operators,0.03527628734493006,feature_importances
unique_operands,0.03253547368884189,feature_importances
halstead_difficulty,0.03226773045038718,feature_importances
halstead_length,0.03158299881555149,feature_importances
halstead_volume,0.031240509100336742,feature_importances
design_density,0.029835285464417303,feature_importances
call_pairs,0.029009868597757234,feature_importances
total_operands,0.026597843172534684,feature_importances
multiple_condition_count,0.024027957682884335,feature_importances
design_complexity,0.02151268990295877,feature_importances
comment_loc,0.02141629786991885,feature_importances
decision_density,0.01305571783101142,feature_importances
code_and_comment_loc,0.012945070079719118,feature_importances
halstead_error,0.009119174898431538,feature_importances
formal_parameters,0.005574476231023283,feature_importances
blank_loc,0.004989180290798823,feature_importances
