feature,importance,source
unique_operands,0.1325155061546697,feature_importances
unique_operators,0.08169084704002298,feature_importances
halstead_vocabulary,0.08164934033908225,feature_importances
halstead_level,0.07031225331053946,feature_importances
multiple_condition_count,0.0519246708983329,feature_importances
total_operators,0.05173971283860745,feature_importances
executable_loc,0.04481871066353824,feature_importances
halstead_effort,0.044021315725870064,feature_importances
blank_loc,0.04310955261218749,feature_importances
total_operands,0.04243791352360133,feature_importances
total_loc,0.0373142894642811,feature_importances
branch_count,0.03473637482498307,feature_importances
halstead_volume,0.03233739964072381,feature_importances
condition_count,0.030572830907131518,feature_importances
halstead_error,0.024837244259330756,feature_importances
design_density,0.024679084918726786,feature_importances
decision_count,0.019941191025267382,feature_importances
halstead_difficulty,0.018650985768216926,feature_importances
comment_loc,0.01787972488525981,feature_importances
cyclomatic_complexity,0.01703483831439496,feature_importances
halstead_length,0.01699037141780567,feature_importances
cyclomatic_density,0.01580911444564025,feature_importances
call_pairs,0.01519551978707562,feature_importances
code_and_comment_loc,0.014297748316421818,feature_importances
halstead_time,0.012229013371685783,feature_importances
design_complexity,0.011478094005423753,feature_importances
decision_density,0.0071731303179579054,feature_importances
normalized_cyclomatic_complexity,0.004623221223221225,feature_importances
formal_parameters,0.0,feature_importances
