feature,importance,std,source
locCodeAndComment,0.003426510369702407,0.0007860953910803676,permutation
lOComment,0.0033363390441839224,0.00041321692470295786,permutation
E,0.0031559963931469537,0.0006048876404417777,permutation
T,0.0031559963931469537,0.0006048876404417777,permutation
loc,0.0017132551848512035,0.0002705139765554532,permutation
total_Op,0.0017132551848512035,0.0002705139765554532,permutation
uniq_Opnd,0.0017132551848512035,0.0002705139765554532,permutation
lOCode,0.0017132551848512035,0.0002705139765554532,permutation
B,0.0017132551848512035,0.0002705139765554532,permutation
V,0.0017132551848512035,0.0002705139765554532,permutation
iv(G),0.0017132551848512035,0.0002705139765554532,permutation
v(g),0.0016230838593327191,0.00036068530207393755,permutation
N,0.0016230838593327191,0.00036068530207393755,permutation
total_Opnd,0.0016230838593327191,0.00036068530207393755,permutation
branchCount,0.0016230838593327191,0.00036068530207393755,permutation
ev(g),0.0009918845807033283,0.00048558744879481153,permutation
lOBlank,0.0009017132551848439,0.0,permutation
I,0.0,0.0,permutation
D,0.0,0.0,permutation
L,0.0,0.0,permutation
uniq_Op,0.0,0.0,permutation
