feature,importance,source
code_and_comment_loc,0.940781432853848,linear_coefficients
blank_loc,0.4764720377090441,linear_coefficients
unique_operands,0.3951348999292732,linear_coefficients
halstead_difficulty,0.3695833973159457,linear_coefficients
halstead_vocabulary,0.34689091214131024,linear_coefficients
executable_loc,0.26477457995262516,linear_coefficients
decision_density,0.2633844747409459,linear_coefficients
comment_loc,0.24785917976973668,linear_coefficients
formal_parameters,0.24084892343893682,linear_coefficients
call_pairs,0.20995708698883744,linear_coefficients
design_complexity,0.20995708698883744,linear_coefficients
halstead_effort,0.20631420127681566,linear_coefficients
halstead_time,0.20631418531666315,linear_coefficients
design_density,0.1690051698857093,linear_coefficients
cyclomatic_complexity,0.15726816463733778,linear_coefficients
condition_count,0.13427257368483703,linear_coefficients
halstead_error,0.12760746870360593,linear_coefficients
halstead_volume,0.12745960405854143,linear_coefficients
decision_count,0.10304177178878203,linear_coefficients
branch_count,0.10304177178878203,linear_coefficients
total_operators,0.08826194462459115,linear_coefficients
unique_operators,0.06365868406766605,linear_coefficients
halstead_level,0.061677668701865716,linear_coefficients
normalized_cyclomatic_complexity,0.05659403053652031,linear_coefficients
cyclomatic_density,0.051963034527944,linear_coefficients
total_operands,0.0366360892170025,linear_coefficients
halstead_length,0.03597211410565982,linear_coefficients
total_loc,0.03172096057704838,linear_coefficients
multiple_condition_count,0.008379083026899511,linear_coefficients
